=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        457.3200 │             2.8140 │        34.2130 │         354000 ║
║        457.1600 │             2.8110 │        34.2180 │         355800 ║
║        457.0400 │             2.8020 │        34.2170 │         357600 ║
║        456.8800 │             2.8040 │        34.2160 │         359400 ║
║        456.7200 │             2.8100 │        34.2180 │         361200 ║
║        456.6000 │             2.8080 │        34.2200 │         363000 ║
║        456.5200 │             2.8040 │        34.2160 │         364800 ║
║        456.4400 │             2.8020 │        34.2130 │         366600 ║
║        456.3600 │             2.8040 │        34.2140 │         368400 ║
║        456.3200 │             2.8060 │        34.2170 │         370200 ║
║        456.3200 │             2.8060 │        34.2150 │         372000 ║
║        456.3200 │             2.8070 │        34.2130 │         373800 ║
║        456.3600 │             2.8070 │        34.2140 │         375600 ║
║        456.4400 │             2.8060 │        34.2150 │         377400 ║
║        456.5200 │             2.8050 │        34.2130 │         379200 ║
║        456.6000 │             2.8050 │        34.2140 │         381000 ║
║        456.7200 │             2.8040 │        34.2160 │         382800 ║
║        456.8400 │             2.8060 │        34.2140 │         384600 ║
║        456.9600 │             2.8090 │        34.2200 │         386400 ║
║        457.0800 │             2.8090 │        34.2180 │         388200 ║
║        457.1600 │             2.8070 │        34.2190 │         390000 ║
║        457.2400 │             2.8070 │        34.2180 │         391800 ║
║        457.2800 │             2.8060 │        34.2180 │         393600 ║
║        457.3200 │             2.8060 │        34.2170 │         395400 ║
║        457.3200 │             2.8060 │        34.2170 │         397200 ║
║        457.3200 │             2.8090 │        34.2170 │         399000 ║
║        457.2800 │             2.8090 │        34.2190 │         400800 ║
║        457.2400 │             2.8090 │        34.2170 │         402600 ║
║        457.1600 │             2.8080 │        34.2150 │         404400 ║
║        457.1200 │             2.8080 │        34.2210 │         406200 ║
║        457.0400 │             2.8070 │        34.2160 │         408000 ║
║        456.9600 │             2.8070 │        34.2140 │         409800 ║
║        456.9200 │             2.8060 │        34.2160 │         411600 ║
║        456.8800 │             2.8070 │        34.2160 │         413400 ║
║        456.8800 │             2.8090 │        34.2070 │         415200 ║
║        456.9200 │             2.8100 │        34.2160 │         417000 ║
║        456.9600 │             2.8120 │        34.2180 │         418800 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        457.1600 │             2.8160 │        34.2220 │       2.8310 ║
║        456.5600 │             2.8150 │        34.2250 │       2.7960 ║
║        455.5200 │             2.8070 │        34.2270 │       2.8810 ║
║        454.5600 │             2.8040 │        34.2270 │       2.8380 ║
║        453.5200 │             2.8040 │        34.2280 │       2.7850 ║
║        452.4800 │             2.8040 │        34.2270 │       2.8380 ║
║        451.4400 │             2.8040 │        34.2270 │       2.8640 ║
║        450.4400 │             2.8040 │        34.2260 │       2.8460 ║
║        449.5200 │             2.8040 │        34.2270 │       2.8290 ║
║        448.4800 │             2.7970 │        34.2270 │       2.8290 ║
║        447.4800 │             2.7930 │        34.2260 │       2.9270 ║
║        446.5600 │             2.7930 │        34.2250 │       2.9510 ║
║        445.5200 │             2.7930 │        34.2250 │       2.8730 ║
║        444.5200 │             2.7920 │        34.2260 │       2.8730 ║
║        443.4800 │             2.7940 │        34.2250 │       2.8990 ║
║        442.4800 │             2.7900 │        34.2230 │       2.8200 ║
║        441.4400 │             2.7860 │        34.2240 │       2.9250 ║
║        440.4400 │             2.7850 │        34.2240 │       2.7850 ║
║        439.5200 │             2.7840 │        34.2230 │       2.8510 ║
║        438.6000 │             2.7830 │        34.2250 │       2.7680 ║
║        437.5600 │             2.7830 │        34.2240 │       2.8460 ║
║        436.4800 │             2.7810 │        34.2240 │       2.8810 ║
║        435.4400 │             2.7810 │        34.2230 │       2.9050 ║
║        434.4400 │             2.7800 │        34.2230 │       2.8940 ║
║        433.5200 │             2.7790 │        34.2210 │       2.8870 ║
║        432.6000 │             2.7770 │        34.2230 │       2.8620 ║
║        431.5200 │             2.7770 │        34.2230 │       2.8290 ║
║        430.4800 │             2.7760 │        34.2240 │       2.7960 ║
║        429.4000 │             2.7750 │        34.2230 │       2.8400 ║
║        428.4800 │             2.7750 │        34.2230 │       2.8580 ║
║        427.5600 │             2.7740 │        34.2230 │       2.8840 ║
║        426.4800 │             2.7730 │        34.2210 │       2.8070 ║
║        425.4400 │             2.7700 │        34.2220 │       2.7960 ║
║        424.4800 │             2.7690 │        34.2230 │       2.8430 ║
║        423.5600 │             2.7680 │        34.2210 │       2.8070 ║
║        422.5200 │             2.7640 │        34.2220 │       2.7190 ║
║        421.4400 │             2.7630 │        34.2200 │       2.7960 ║
║        420.5600 │             2.7610 │        34.2200 │       2.8290 ║
║        419.6000 │             2.7610 │        34.2210 │       2.8180 ║
║        418.5600 │             2.7580 │        34.2200 │       2.8400 ║
║        417.4800 │             2.7560 │        34.2200 │       2.7630 ║
║        416.4400 │             2.7550 │        34.2190 │       2.8180 ║
║        415.5200 │             2.7530 │        34.2180 │       2.8000 ║
║        414.6000 │             2.7520 │        34.2170 │       2.7080 ║
║        413.5200 │             2.7500 │        34.2180 │       2.7630 ║
║        412.4800 │             2.7480 │        34.2170 │       2.7960 ║
║        411.4400 │             2.7460 │        34.2170 │       2.8070 ║
║        410.4000 │             2.7420 │        34.2160 │       2.7740 ║
║        409.4400 │             2.7400 │        34.2150 │       2.8140 ║
║        408.4800 │             2.7400 │        34.2150 │       2.7850 ║
║        407.4800 │             2.7400 │        34.2150 │       2.8290 ║
║        406.6400 │             2.7380 │        34.2140 │       2.8290 ║
║        405.5200 │             2.7360 │        34.2150 │       2.7850 ║
